,Date,Total Responden,Total Rating,CSAT [After]
103,2024-06-12,32,116,3.63
104,2024-06-13,49,189,3.86
105,2024-06-14,45,185,4.11
106,2024-06-15,45,204,4.53
107,2024-06-16,46,206,4.48
108,2024-06-17,22,96,4.36
109,2024-06-18,46,194,4.22
110,2024-06-19,61,253,4.15
111,2024-06-20,35,151,4.31
112,2024-06-21,19,67,3.53
113,2024-06-22,23,87,3.78
114,2024-06-23,23,95,4.13
115,2024-06-24,28,106,3.79
116,2024-06-25,57,223,3.91
117,2024-06-26,52,206,3.96
118,2024-06-27,39,172,4.41
119,2024-06-28,39,157,4.03
120,2024-06-29,49,197,4.02
121,2024-06-30,42,182,4.33
122,2024-07-01,46,162,3.52
123,2024-07-02,59,234,3.97
124,2024-07-03,40,155,3.88
125,2024-07-04,35,137,3.91
126,2024-07-05,52,211,4.06
127,2024-07-06,36,168,4.67
128,2024-07-07,39,168,4.31
129,2024-07-08,52,223,4.29
130,2024-07-09,25,101,4.04
131,2024-07-10,29,123,4.24
132,2024-07-11,38,131,3.45
133,2024-07-12,27,108,4.00
134,2024-07-13,25,72,2.88
135,2024-07-14,25,93,3.72
136,2024-07-15,29,110,3.79
137,2024-07-16,44,169,3.84
138,2024-07-17,33,127,3.85
139,2024-07-18,29,111,3.83
140,2024-07-19,31,117,3.77
141,2024-07-20,25,87,3.48
142,2024-07-21,33,124,3.76
143,2024-07-22,35,131,3.74
144,2024-07-23,27,111,4.11
145,2024-07-24,33,118,3.58
146,2024-07-25,31,124,4.00
147,2024-07-26,28,116,4.14
148,2024-07-27,21,82,3.90
149,2024-07-28,23,81,3.52
150,2024-07-29,25,93,3.72
151,2024-07-30,33,128,3.88
152,2024-07-31,27,96,3.56
153,2024-08-01,47,174,3.70
154,2024-08-02,27,111,4.11
155,2024-08-03,26,103,3.96
156,2024-08-04,25,109,4.36
157,2024-08-05,30,129,4.30
158,2024-08-06,38,114,3.00
159,2024-08-07,26,109,4.19
160,2024-08-08,24,79,3.29
161,2024-08-09,25,81,3.24
162,2024-08-10,35,127,3.63
163,2024-08-11,25,100,4.00
164,2024-08-12,28,105,3.75
165,2024-08-13,31,119,3.84
166,2024-08-14,26,79,3.04
167,2024-08-15,26,99,3.81
168,2024-08-16,27,111,4.11
169,2024-08-17,19,74,3.89
170,2024-08-18,19,69,3.63
171,2024-08-19,24,88,3.67
172,2024-08-20,23,90,3.91
173,2024-08-21,32,124,3.88
174,2024-08-22,28,106,3.79
175,2024-08-23,24,83,3.46
176,2024-08-24,23,93,4.04
177,2024-08-25,21,96,4.57
178,2024-08-26,47,188,4.00
179,2024-08-27,59,206,3.49
180,2024-08-28,68,215,3.16
181,2024-08-29,41,166,4.05
182,2024-08-30,28,105,3.75
183,2024-08-31,37,132,3.57
184,2024-09-01,33,131,3.97
185,2024-09-02,30,119,3.97
186,2024-09-03,37,134,3.62
187,2024-09-04,48,193,4.02
188,2024-09-05,43,162,3.77
189,2024-09-06,36,142,3.94
190,2024-09-07,35,135,3.86
191,2024-09-08,22,86,3.91
192,2024-09-09,31,126,4.06
193,2024-09-10,32,108,3.38
194,2024-09-11,22,87,3.95
195,2024-09-12,17,52,3.06
196,2024-09-13,41,153,3.73
197,2024-09-14,37,141,3.81
198,2024-09-15,31,121,3.90
199,2024-09-16,31,130,4.19
200,2024-09-17,28,112,4.00
201,2024-09-18,37,163,4.41
202,2024-09-19,21,81,3.86
203,2024-09-20,29,117,4.03
204,2024-09-21,23,95,4.13
205,2024-09-22,20,90,4.50
206,2024-09-23,21,77,3.67
207,2024-09-24,30,122,4.07
208,2024-09-25,36,149,4.14
209,2024-09-26,31,118,3.81
210,2024-09-27,30,114,3.80
211,2024-09-28,24,103,4.29
